date,adjclose
2018-01-03,7.46852970123291
2018-01-04,7.70088529586792
2018-01-05,7.875150680541992
2018-01-08,8.256875038146973
2018-01-09,8.48093318939209
2018-01-10,8.505825996398926
2018-01-11,9.003728866577148
2018-01-12,8.72158432006836
2018-01-15,8.945639610290527
2018-01-16,8.696688652038574
2018-01-17,9.045219421386719
2018-01-18,8.746479034423828
2018-01-19,8.862655639648438
2018-01-22,8.920743942260742
2018-01-23,8.514124870300293
2018-01-24,9.0120267868042
2018-01-25,9.0120267868042
2018-01-26,9.028623580932617
2018-01-29,8.89585018157959
2018-01-30,8.98713207244873
2018-01-31,9.119906425476074
2018-02-01,9.227784156799316
2018-02-02,8.937342643737793
2018-02-05,8.422842025756836
2018-02-06,8.746479034423828
2018-02-07,8.439440727233887
2018-02-08,8.331561088562012
2018-02-09,8.207086563110352
2018-02-15,8.763076782226562
2018-02-16,8.82116413116455
2018-02-19,8.90414810180664
2018-02-20,8.655198097229004
2018-02-21,8.597107887268066
2018-02-22,8.489229202270508
2018-02-23,8.514124870300293
2018-02-26,9.028623580932617
2018-02-27,8.829463958740234
2018-02-28,8.422842025756836
2018-03-01,8.049416542053223
2018-03-02,7.642796516418457
2018-03-05,7.534916400909424
2018-03-06,7.534916400909424
2018-03-07,7.510022163391113
2018-03-08,7.128297328948975
2018-03-09,7.410442352294922
2018-03-12,7.485127925872803
2018-03-13,7.36065149307251
2018-03-14,7.310861587524414
2018-03-15,7.078507423400879
2018-03-16,7.061910152435303
2018-03-19,6.854451656341553
2018-03-20,6.987225532531738
2018-03-21,7.3689494132995605
2018-03-22,7.219579219818115
2018-03-23,7.111700534820557
2018-03-26,7.111700534820557
2018-03-27,6.970628261566162
2018-03-28,6.904241561889648
2018-03-29,7.3025641441345215
2018-04-02,7.4187397956848145
2018-04-03,7.294264316558838
2018-04-04,7.1365966796875
2018-04-05,7.36065149307251
2018-04-06,7.153193950653076
2018-04-09,6.962330341339111
2018-04-10,7.095104217529297
2018-04-11,7.294264316558838
2018-04-12,7.352353572845459
2018-04-13,7.269370079040527
2018-04-16,7.070209503173828
2018-04-17,7.211281776428223
2018-04-18,7.659392833709717
2018-04-19,7.692586898803711
2018-04-20,7.543216705322266
2018-04-23,7.576409816741943
2018-04-24,7.576409816741943
2018-04-25,7.584708213806152
2018-04-26,7.651094436645508
2018-04-27,7.385546684265137
2018-04-30,7.285966396331787
2018-05-02,7.393845081329346
2018-05-03,7.119999885559082
2018-05-04,7.219579219818115
2018-05-07,7.028717041015625
2018-05-08,7.028717041015625
2018-05-09,7.219579219818115
2018-05-10,7.460232257843018
2018-05-11,7.70088529586792
2018-05-14,7.9000468254089355
2018-05-15,7.800465106964111
2018-05-16,7.949835777282715
2018-05-17,7.725780487060547
2018-05-18,7.692586898803711
2018-05-21,7.510022163391113
2018-05-22,7.626199245452881
2018-05-23,7.219579219818115
2018-05-24,7.1365966796875
2018-05-25,6.779766082763672
2018-05-28,6.099299907684326
2018-05-29,6.356549263000488
2018-05-30,6.389742851257324
2018-06-01,6.447831630706787
2018-06-04,7.410442352294922
2018-06-05,7.4187397956848145
2018-06-06,7.227878093719482
2018-06-07,7.103402614593506
2018-06-08,6.746572971343994
2018-06-11,6.6884846687316895
2018-06-12,7.020419120788574
2018-06-13,6.970628261566162
2018-06-14,6.804660797119141
2018-06-15,6.522517204284668
2018-06-18,6.522517204284668
2018-06-19,6.622097492218018
2018-06-20,6.646992206573486
2018-06-21,6.265267372131348
2018-06-22,6.406339645385742
2018-06-25,6.315057754516602
2018-06-26,6.2569684982299805
2018-06-27,6.240372180938721
2018-06-28,6.298460483551025
2018-06-29,6.522517204284668
2018-07-02,6.456130027770996
2018-07-03,6.489323139190674
2018-07-04,6.663589000701904
2018-07-05,6.497622013092041
2018-07-06,6.613798141479492
2018-07-10,6.613798141479492
2018-07-11,6.281864166259766
2018-07-12,6.646992206573486
2018-07-13,6.655291557312012
2018-07-16,6.597201824188232
2018-07-17,6.821258544921875
2018-07-18,6.713379383087158
2018-07-19,6.597201824188232
2018-07-20,6.804660797119141
2018-07-23,6.796361923217773
2018-07-24,7.227878093719482
2018-07-25,7.261070728302002
2018-07-26,7.1863861083984375
2018-07-27,7.717482089996338
2018-07-30,7.568112373352051
2018-07-31,7.61790132522583
2018-08-01,7.659392833709717
2018-08-02,7.933239459991455
2018-08-03,8.007923126220703
2018-08-06,7.924941539764404
2018-08-07,7.983028888702393
2018-08-08,7.958134651184082
2018-08-09,7.858553886413574
2018-08-10,7.60130500793457
2018-08-13,7.958134651184082
2018-08-14,7.916642189025879
2018-08-15,7.501723766326904
2018-08-16,7.451933860778809
2018-08-17,7.476829528808594
2018-08-20,7.833658695220947
2018-08-21,7.559811592102051
2018-08-22,7.8419575691223145
2018-08-23,7.490052223205566
2018-08-24,7.67708158493042
2018-08-27,7.748330593109131
2018-08-28,7.561301231384277
2018-08-29,7.6592698097229
2018-08-30,7.712705612182617
2018-08-31,7.819579124450684
2018-09-03,7.881922721862793
2018-09-04,7.472241401672363
2018-09-05,7.39208459854126
2018-09-06,7.436616897583008
2018-09-10,7.605832576751709
2018-09-11,7.276305675506592
2018-09-12,7.400992393493652
2018-09-13,7.374272346496582
2018-09-14,7.570208549499512
2018-09-17,7.694894790649414
2018-09-18,7.953171730041504
2018-09-19,7.962077617645264
2018-09-20,7.864110469818115
2018-09-21,8.104576110839844
2018-09-24,7.828486442565918
2018-09-25,8.27379322052002
2018-09-26,8.282697677612305
2018-09-27,8.238167762756348
2018-09-28,8.31832218170166
