date,adjclose
2018-01-03,78.19999694824219
2018-01-04,78.77999877929688
2018-01-05,79.19999694824219
2018-01-08,79.58999633789062
2018-01-09,79.08000183105469
2018-01-10,78.3499984741211
2018-01-11,79.58000183105469
2018-01-12,79.55999755859375
2018-01-15,79.97000122070312
2018-01-16,80.04000091552734
2018-01-17,81.4000015258789
2018-01-18,81.18000030517578
2018-01-19,81.3499984741211
2018-01-22,81.80999755859375
2018-01-23,80.9000015258789
2018-01-24,83.87000274658203
2018-01-25,83.87000274658203
2018-01-26,85.73999786376953
2018-01-29,84.9000015258789
2018-01-30,84.62000274658203
2018-01-31,85.12999725341797
2018-02-01,85.69000244140625
2018-02-02,85.69000244140625
2018-02-05,81.98999786376953
2018-02-06,84.12000274658203
2018-02-07,82.9800033569336
2018-02-08,81.6500015258789
2018-02-09,81.0999984741211
2018-02-15,84.5
2018-02-16,84.7300033569336
2018-02-19,84.94999694824219
2018-02-20,85.95999908447266
2018-02-21,86.30000305175781
2018-02-22,86.91999816894531
2018-02-23,87.45999908447266
2018-02-26,87.83000183105469
2018-02-27,87.11000061035156
2018-02-28,85.61000061035156
2018-03-01,85.62999725341797
2018-03-02,86.01000213623047
2018-03-05,86.27999877929688
2018-03-06,85.91000366210938
2018-03-07,85.7300033569336
2018-03-08,85.25
2018-03-09,86.62999725341797
2018-03-12,87.16999816894531
2018-03-13,86.6500015258789
2018-03-14,86.23999786376953
2018-03-15,85.19000244140625
2018-03-16,85.1500015258789
2018-03-19,84.16999816894531
2018-03-20,84.33999633789062
2018-03-21,85.23999786376953
2018-03-22,84.97000122070312
2018-03-23,84.97000122070312
2018-03-26,85.36000061035156
2018-03-27,84.08000183105469
2018-03-28,84.12999725341797
2018-03-29,85.62000274658203
2018-04-02,84.93000030517578
2018-04-03,84.87999725341797
2018-04-04,84.55000305175781
2018-04-05,85.37999725341797
2018-04-06,85.08000183105469
2018-04-09,83.4800033569336
2018-04-10,84.76000213623047
2018-04-11,85.5
2018-04-12,85.69999694824219
2018-04-13,84.56999969482422
2018-04-16,83.02999877929688
2018-04-17,84.33999633789062
2018-04-18,86.02999877929688
2018-04-19,86.08000183105469
2018-04-20,85.7300033569336
2018-04-23,85.86000061035156
2018-04-24,85.63999938964844
2018-04-25,85.20999908447266
2018-04-26,86.63999938964844
2018-04-27,86.69999694824219
2018-04-30,86.37000274658203
2018-05-02,84.80000305175781
2018-05-03,83.54000091552734
2018-05-04,83.37000274658203
2018-05-07,82.94999694824219
2018-05-08,83.11000061035156
2018-05-09,84.41999816894531
2018-05-10,86.0999984741211
2018-05-11,85.37999725341797
2018-05-14,85.38999938964844
2018-05-15,85.30000305175781
2018-05-16,86.69999694824219
2018-05-17,83.80000305175781
2018-05-18,83.31999969482422
2018-05-21,81.98999786376953
2018-05-22,82.9800033569336
2018-05-23,81.04000091552734
2018-05-24,80.36000061035156
2018-05-25,80.36000061035156
2018-05-28,75.51000213623047
2018-05-29,76.29000091552734
2018-05-30,76.9800033569336
2018-06-01,76.9800033569336
2018-06-04,78.73999786376953
2018-06-05,76.80000305175781
2018-06-06,76.26000213623047
2018-06-07,74.0
2018-06-08,73.13999938964844
2018-06-11,72.44000244140625
2018-06-12,72.95999908447266
2018-06-13,72.33999633789062
2018-06-14,71.62000274658203
2018-06-15,70.88999938964844
2018-06-18,70.0199966430664
2018-06-19,71.52999877929688
2018-06-20,72.33000183105469
2018-06-21,70.27999877929688
2018-06-22,70.8499984741211
2018-06-25,71.08999633789062
2018-06-26,71.54000091552734
2018-06-27,70.75
2018-06-28,71.9800033569336
2018-06-29,72.94999694824219
2018-07-02,72.98999786376953
2018-07-03,73.83000183105469
2018-07-04,74.98999786376953
2018-07-05,74.72000122070312
2018-07-06,75.18000030517578
2018-07-10,75.11000061035156
2018-07-11,74.56999969482422
2018-07-12,76.0999984741211
2018-07-13,76.8499984741211
2018-07-16,76.83000183105469
2018-07-17,78.30999755859375
2018-07-18,77.54000091552734
2018-07-19,77.66000366210938
2018-07-20,78.75
2018-07-23,78.18000030517578
2018-07-24,79.33999633789062
2018-07-25,80.4800033569336
2018-07-26,79.58999633789062
2018-07-27,80.05000305175781
2018-07-30,80.45999908447266
2018-07-31,79.41000366210938
2018-08-01,79.55999755859375
2018-08-02,79.81999969482422
2018-08-03,81.62000274658203
2018-08-06,81.27999877929688
2018-08-07,80.56999969482422
2018-08-08,79.37000274658203
2018-08-09,79.05999755859375
2018-08-10,76.73999786376953
2018-08-13,77.77999877929688
2018-08-14,78.9000015258789
2018-08-15,77.30000305175781
2018-08-16,77.11000061035156
2018-08-17,76.25
2018-08-20,76.55000305175781
2018-08-21,75.4000015258789
2018-08-22,77.12000274658203
2018-08-23,75.86000061035156
2018-08-24,76.4800033569336
2018-08-27,78.16000366210938
2018-08-28,77.77999877929688
2018-08-29,78.69999694824219
2018-08-30,76.62999725341797
2018-08-31,76.9000015258789
2018-09-03,76.48999786376953
2018-09-04,74.94000244140625
2018-09-05,75.37999725341797
2018-09-06,76.69999694824219
2018-09-10,76.7300033569336
2018-09-11,74.87999725341797
2018-09-12,75.33999633789062
2018-09-13,74.91999816894531
2018-09-14,75.7300033569336
2018-09-17,77.08000183105469
2018-09-18,78.54000091552734
2018-09-19,78.45999908447266
2018-09-20,78.3499984741211
2018-09-21,79.68000030517578
2018-09-24,78.2300033569336
2018-09-25,78.86000061035156
2018-09-26,78.9800033569336
2018-09-27,80.2300033569336
2018-09-28,79.58999633789062
2018-10-01,78.87000274658203
2018-10-02,81.91999816894531
2018-10-03,83.5999984741211
