date,adjclose
2018-01-03,90.38999938964844
2018-01-04,90.55000305175781
2018-01-05,90.94000244140625
2018-01-08,91.56999969482422
2018-01-09,92.23999786376953
2018-01-10,91.44000244140625
2018-01-11,91.5
2018-01-12,91.8499984741211
2018-01-15,91.8499984741211
2018-01-16,92.3499984741211
2018-01-17,93.16999816894531
2018-01-18,92.75
2018-01-19,92.41000366210938
2018-01-22,93.25
2018-01-23,94.18000030517578
2018-01-24,91.8499984741211
2018-01-25,91.8499984741211
2018-01-26,92.91000366210938
2018-01-29,93.0
2018-01-30,92.48999786376953
2018-01-31,92.47000122070312
2018-02-01,92.25
2018-02-02,92.25
2018-02-05,89.62000274658203
2018-02-06,89.72000122070312
2018-02-07,91.12000274658203
2018-02-08,89.0999984741211
2018-02-09,87.4000015258789
2018-02-15,90.6500015258789
2018-02-16,91.06999969482422
2018-02-19,92.0
2018-02-20,93.4000015258789
2018-02-21,91.4000015258789
2018-02-22,92.30000305175781
2018-02-23,91.5999984741211
2018-02-26,92.33000183105469
2018-02-27,91.8499984741211
2018-02-28,90.69999694824219
2018-03-01,89.55000305175781
2018-03-02,89.55000305175781
2018-03-05,90.80000305175781
2018-03-06,90.16000366210938
2018-03-07,91.06999969482422
2018-03-08,92.08000183105469
2018-03-09,93.37999725341797
2018-03-12,93.37999725341797
2018-03-13,92.9000015258789
2018-03-14,92.30000305175781
2018-03-15,93.12999725341797
2018-03-16,92.5
2018-03-19,91.83000183105469
2018-03-20,92.69999694824219
2018-03-21,91.30000305175781
2018-03-22,90.0999984741211
2018-03-23,88.37000274658203
2018-03-26,90.58999633789062
2018-03-27,89.77999877929688
2018-03-28,89.5
2018-03-29,89.9000015258789
2018-04-02,88.26000213623047
2018-04-03,89.94999694824219
2018-04-04,91.13999938964844
2018-04-05,91.80000305175781
2018-04-06,90.30000305175781
2018-04-09,92.16999816894531
2018-04-10,93.55999755859375
2018-04-11,92.44999694824219
2018-04-12,93.72000122070312
2018-04-13,93.9000015258789
2018-04-16,94.37000274658203
2018-04-17,95.22000122070312
2018-04-18,95.22000122070312
2018-04-19,94.30000305175781
2018-04-20,94.04000091552734
2018-04-23,95.22000122070312
2018-04-24,94.4000015258789
2018-04-25,95.01000213623047
2018-04-26,95.6500015258789
2018-04-27,95.44999694824219
2018-04-30,95.75
2018-05-02,96.52999877929688
2018-05-03,95.6500015258789
2018-05-04,96.87000274658203
2018-05-07,98.1500015258789
2018-05-08,98.62000274658203
2018-05-09,100.33000183105469
2018-05-10,99.72000122070312
2018-05-11,101.62000274658203
2018-05-14,102.3499984741211
2018-05-15,102.75
2018-05-16,103.54000091552734
2018-05-17,104.1500015258789
2018-05-18,105.0
2018-05-21,104.30000305175781
2018-05-22,102.69999694824219
2018-05-23,102.4000015258789
2018-05-24,102.87000274658203
2018-05-25,102.87000274658203
2018-05-28,103.0999984741211
2018-05-29,105.44000244140625
2018-05-30,105.4000015258789
2018-06-01,105.4000015258789
2018-06-04,106.31999969482422
2018-06-05,108.4000015258789
2018-06-06,110.12999725341797
2018-06-07,112.0
2018-06-08,106.3499984741211
2018-06-11,106.80000305175781
2018-06-12,106.80000305175781
2018-06-13,106.37999725341797
2018-06-14,109.44999694824219
2018-06-15,109.44999694824219
2018-06-18,107.75
2018-06-19,106.8499984741211
2018-06-20,107.0
2018-06-21,107.05000305175781
2018-06-22,107.66000366210938
2018-06-25,106.29000091552734
2018-06-26,106.79000091552734
2018-06-27,106.79000091552734
2018-06-28,108.33999633789062
2018-06-29,108.80000305175781
2018-07-02,110.19999694824219
2018-07-03,110.19999694824219
2018-07-04,110.19999694824219
2018-07-05,111.19999694824219
2018-07-06,110.75
2018-07-10,109.7699966430664
2018-07-11,111.41000366210938
2018-07-12,112.30999755859375
2018-07-13,111.44000244140625
2018-07-16,111.9000015258789
2018-07-17,111.9000015258789
2018-07-18,111.97000122070312
2018-07-19,111.5
2018-07-20,109.80000305175781
2018-07-23,110.0
2018-07-24,109.0
2018-07-25,108.5
2018-07-26,110.0
2018-07-27,108.3499984741211
2018-07-30,107.9000015258789
2018-07-31,109.55000305175781
2018-08-01,109.05000305175781
2018-08-02,109.91000366210938
2018-08-03,108.25
2018-08-06,109.6500015258789
2018-08-07,111.05000305175781
2018-08-08,110.93000030517578
2018-08-09,110.93000030517578
2018-08-10,112.98999786376953
2018-08-13,113.27999877929688
2018-08-14,113.61000061035156
2018-08-15,113.3499984741211
2018-08-16,114.44999694824219
2018-08-17,115.25
2018-08-20,116.80000305175781
2018-08-21,119.4000015258789
2018-08-22,120.0
2018-08-23,121.5999984741211
2018-08-24,121.80000305175781
2018-08-27,122.0999984741211
2018-08-28,123.62000274658203
2018-08-29,124.05000305175781
2018-08-30,124.4000015258789
2018-08-31,122.0999984741211
2018-09-03,123.5
2018-09-04,124.37000274658203
2018-09-05,123.95999908447266
2018-09-06,121.62000274658203
2018-09-10,121.95999908447266
2018-09-11,124.0999984741211
2018-09-12,124.0
2018-09-13,126.0999984741211
2018-09-14,125.4000015258789
2018-09-17,123.44999694824219
2018-09-18,124.6500015258789
2018-09-19,124.4000015258789
2018-09-20,123.6500015258789
2018-09-21,122.30000305175781
2018-09-24,123.5
2018-09-25,123.0
2018-09-26,121.4000015258789
2018-09-27,120.6500015258789
2018-09-28,121.91000366210938
2018-10-01,121.80000305175781
2018-10-02,119.1500015258789
2018-10-03,118.05000305175781
2018-10-04,117.1500015258789
2018-10-05,115.30000305175781
2018-10-08,112.55000305175781
2018-10-09,111.0
2018-10-10,108.80000305175781
