date,adjclose,adj_close_diff,t-5,t-4,t-3,t-2,t-1,rolling
2018-01-22,0.32614957987963084,-0.0021766292125895426,0.33390972397702395,0.32283729532941813,0.3308813633037991,0.328136886337234,0.3283262090922204,0.3269810138474839
2018-01-23,0.30987224168686617,-0.016277338192764668,0.32283729532941813,0.3308813633037991,0.328136886337234,0.3283262090922204,0.32614957987963084,0.32661599181725837
2018-01-24,0.31791622932059144,0.00804398763372527,0.3308813633037991,0.328136886337234,0.3283262090922204,0.32614957987963084,0.30987224168686617,0.32671062450166016
2018-01-25,0.31791622932059144,0.0,0.328136886337234,0.3283262090922204,0.32614957987963084,0.30987224168686617,0.31791622932059144,0.32636587700974407
2018-01-26,0.3146040251110344,-0.0033122042095570237,0.3283262090922204,0.32614957987963084,0.30987224168686617,0.31791622932059144,0.31791622932059144,0.3251491349961196
2018-01-29,0.31895724336588543,0.004353218254851021,0.32614957987963084,0.30987224168686617,0.31791622932059144,0.31791622932059144,0.3146040251110344,0.32435149001257624
2018-01-30,0.3149825501100236,-0.003974693255861861,0.30987224168686617,0.31791622932059144,0.31791622932059144,0.3146040251110344,0.31895724336588543,0.32367551808267164
2018-01-31,0.31479330769569286,-0.00018924241433071476,0.31791622932059144,0.31791622932059144,0.3146040251110344,0.31895724336588543,0.3149825501100236,0.32242497560750094
2018-02-01,0.31801091078324856,0.0032176030875556982,0.31791622932059144,0.3146040251110344,0.31895724336588543,0.3149825501100236,0.31479330769569286,0.3212352710938043
2018-02-02,0.3086419048865859,-0.009369005896662674,0.3146040251110344,0.31895724336588543,0.3149825501100236,0.31479330769569286,0.31801091078324856,0.31943042687305867
2018-02-05,0.30438336809439176,-0.004258536792194123,0.31895724336588543,0.3149825501100236,0.31479330769569286,0.31801091078324856,0.3086419048865859,0.3181122892134139
2018-02-06,0.3244461571286877,0.020062789034295925,0.3149825501100236,0.31479330769569286,0.31801091078324856,0.3086419048865859,0.30438336809439176,0.3176526316294774
2018-02-07,0.3172538206149423,-0.007192336513745401,0.31479330769569286,0.31801091078324856,0.3086419048865859,0.30438336809439176,0.3244461571286877,0.31687526979217084
2018-02-08,0.316118165277319,-0.0011356553376232759,0.31801091078324856,0.3086419048865859,0.30438336809439176,0.3244461571286877,0.3172538206149423,0.31600326666253503
2018-02-09,0.3199982172408517,0.0038800519635326935,0.3086419048865859,0.30438336809439176,0.3244461571286877,0.3172538206149423,0.316118165277319,0.315563883616908
2018-02-15,0.35737931834287845,0.03738110110202675,0.30438336809439176,0.3244461571286877,0.3172538206149423,0.316118165277319,0.3199982172408517,0.31895724623519456
2018-02-16,0.3581363683408569,0.0007570499979784318,0.3244461571286877,0.3172538206149423,0.316118165277319,0.3199982172408517,0.35737931834287845,0.32183011330807065
2018-02-19,0.3621111419373744,0.003974773596517545,0.3172538206149423,0.316118165277319,0.3199982172408517,0.35737931834287845,0.3581363683408569,0.324986892780698
2018-02-20,0.35321534250235803,-0.008895799435016394,0.316118165277319,0.3199982172408517,0.35737931834287845,0.3581363683408569,0.3621111419373744,0.3277448440229354
